,state,pop_migrated,MOE +/-,state_population,migrated_adjusted,moe_adjusted,winning_party,winner_percent_of_votes
0,Alabama,494,417,5024279,9.832256528747706e-05,8.299698324874077e-05,REPUBLICAN,0.6208309236440906
1,Alaska,0,208,733391,0.0,0.00028361406125791016,REPUBLICAN,0.5128151207753728
2,Arizona,549,667,7151502,7.676709032592035e-05,9.326712066919649e-05,REPUBLICAN,0.4867161647232105
3,Arkansas,105,146,3011524,3.486606781151337e-05,4.8480437147437644e-05,REPUBLICAN,0.6057410216382829
4,California,3763,1034,39538223,9.517372594109755e-05,2.615190874916154e-05,DEMOCRAT,0.6172639960455788
5,Colorado,1109,667,5773714,0.00019207740459607108,0.00011552356074443591,DEMOCRAT,0.481569803828474
6,Connecticut,1149,624,3605944,0.00031864055570469203,0.00017304761249758733,DEMOCRAT,0.5456630109670987
7,Delaware,375,336,989948,0.0003788077757619592,0.00033941176708271546,DEMOCRAT,0.5335333680563419
8,District of Columbia,0,0,689545,0.0,0.0,DEMOCRAT,0.9048388386787172
9,Florida,1182,530,21538187,5.4879270943278556e-05,2.460745651432964e-05,REPUBLICAN,0.4902194141659073
10,Georgia,1507,643,10711908,0.00014068455404956802,6.002665444848854e-05,REPUBLICAN,0.50771326054771
11,Hawaii,29,47,1455271,1.9927559884035344e-05,3.229639015688487e-05,DEMOCRAT,0.6098079805512905
12,Idaho,161,184,1839106,8.754253425305556e-05,0.00010004861057492064,REPUBLICAN,0.5926143236919689
13,Illinois,2726,945,12812508,0.00021276084276396158,7.375605150841662e-05,DEMOCRAT,0.558253666987933
14,Indiana,710,574,6785528,0.00010463445143841423,8.459179595161938e-05,REPUBLICAN,0.5694003344841128
15,Iowa,17,29,3190369,5.328537231900134e-06,9.089857630888465e-06,REPUBLICAN,0.5116206134467737
16,Kansas,0,208,2937880,0.0,7.079935191362478e-05,REPUBLICAN,0.5665458180583958
17,Kentucky,285,452,4505836,6.325130342071926e-05,0.00010031434788128108,REPUBLICAN,0.6251963855190009
18,Louisiana,461,452,4657757,9.897467815517212e-05,9.704241762719695e-05,REPUBLICAN,0.580886846535688
19,Maine,122,126,1362359,8.955055165341881e-05,9.248663531418664e-05,DEMOCRAT,0.4634521409730895
21,Massachusetts,2669,723,7029917,0.0003796630884831215,0.00010284616447107413,REPUBLICAN,0.4749756421999614
22,Michigan,808,396,10077331,8.017996034862802e-05,3.929611918076324e-05,DEMOCRAT,0.4644503396176695
23,Minnesota,436,391,5706494,7.640418092089469e-05,6.851842830291243e-05,REPUBLICAN,0.5794103808883564
24,Mississippi,157,182,2961279,5.3017631908374725e-05,6.145992998295669e-05,REPUBLICAN,0.5677234783816165
25,Missouri,466,319,6154913,7.57118744001743e-05,5.1828514879089274e-05,REPUBLICAN,0.5646619186857719
26,Montana,0,208,1084225,0.0,0.00019184209919527774,REPUBLICAN,0.5874735112712576
27,Nebraska,0,208,1961504,0.0,0.00010604107868248038,DEMOCRAT,0.4791782367811904
28,Nevada,128,141,3104614,4.122895793164625e-05,4.541627397157907e-05,DEMOCRAT,0.4682626266969055
29,New Hampshire,88,141,1377529,6.388250265511651e-05,0.00010235719175422079,DEMOCRAT,0.554530844496942
30,New Jersey,2590,1443,9288994,0.00027882459607574296,0.00015534513209934252,DEMOCRAT,0.482556471786341
31,New Mexico,206,353,2117522,9.728352291026965e-05,0.00016670428925886013,DEMOCRAT,0.5613614259984896
32,New York,5238,1495,20201249,0.0002592908983003972,7.400532511628365e-05,REPUBLICAN,0.4982809469618041
33,North Carolina,1867,893,10439388,0.00017884190146012392,8.554141296405499e-05,REPUBLICAN,0.629556278313393
34,North Dakota,5,13,779094,6.417710828218418e-06,1.6686048153367886e-05,REPUBLICAN,0.5168765067578619
35,Ohio,1026,500,11799448,8.695322018453745e-05,4.2374863637688814e-05,REPUBLICAN,0.6532286481962736
36,Oklahoma,0,208,3959353,0.0,5.253383570497503e-05,DEMOCRAT,0.5007185200286208
37,Oregon,37,62,4237256,8.732066223990242e-06,1.4632110969929595e-05,REPUBLICAN,0.4857788580374602
38,Pennsylvania,1824,640,13002700,0.00014027855753035907,4.922054650188038e-05,DEMOCRAT,0.5440660657037472
39,Rhode Island,296,336,1097379,0.0002697336107215465,0.00030618409865689063,REPUBLICAN,0.5493933268569543
40,South Carolina,235,214,5118425,4.591256099288355e-05,4.180973639351949e-05,REPUBLICAN,0.615307503789588
41,South Dakota,0,208,886667,0.0,0.00023458637797504588,REPUBLICAN,0.6072203369421462
42,Tennessee,1057,609,6910840,0.00015294812208067326,8.812242795376538e-05,REPUBLICAN,0.5223468557933538
43,Texas,2858,1430,29145505,9.805971795650821e-05,4.9064169586356456e-05,REPUBLICAN,0.4554081658810042
44,Utah,384,360,3271616,0.00011737318805140946,0.00011003736379819636,DEMOCRAT,0.5572274212321393
45,Vermont,447,456,643077,0.0006950956106344964,0.0007090908242714325,DEMOCRAT,0.5253868006182659
47,Washington,206,231,7705281,2.673491077093749e-05,2.9979438777119224e-05,REPUBLICAN,0.4721818456731012
48,West Virginia,0,208,1793716,0.0,0.00011596038614808587,REPUBLICAN,0.6739841105460841
49,Wisconsin,115,145,5893718,1.9512301063607047e-05,2.460246655846106e-05,,
50,Wyoming,0,208,576851,0.0,0.0003605783815924736,,
51,Puerto Rico,356,325,3285874,0.00010834255969644606,9.89082356779353e-05,,
